Start,End,Duration (hours),Date,Event,Beaufort land-wind scale,No. customers affected
19/10/2021,20/10/2021 00:00,0.75,,,,
20/10/2021,20/10/2021 02:00,1.75,,,,
20/10/2021,20/10/2021 08:00,5.75,,,,
20/10/2021,20/10/2021 09:00,0.75,,,,
20/10/2021,20/10/2021 12:00,2.75,,,,
20/10/2021,20/10/2021 13:00,0.75,,,,
20/10/2021,20/10/2021 15:00,1.75,,,,
20/10/2021,20/10/2021 23:00,7.75,,,,
20/10/2021,21/10/2021 00:00,0.75,,,,
21/10/2021,21/10/2021 02:00,1.75,,,,
21/10/2021,21/10/2021 08:00,5.75,,,,
21/10/2021,21/10/2021 22:00,13.75,,,,
21/10/2021,21/10/2021 23:00,0.75,,,,
21/10/2021,22/10/2021 00:00,0.75,,,,
,,,26/11/2021,Arwen,Storm,0
,,,07/12/2021,Barra,Violent Storm,59000
,,,29/01/2022,Malik,Gale,0
,,,30/01/2022,Corrie,Gale,
,,,16/02/2022,Dudley,Gale,
,,,18/02/2022,Eunice,Violent Storm,80000
,,,20/02/2022,Franklin,Storm,18000
17/05/2022,20/05/2022 13:36,65.6,,,,
28/05/2022,31/05/2022 12:32,64.53,,,,
09/08/2022,11/08/2022 22:01,54.48,,,,
14/10/2022,16/10/2022 18:00,46,,,,
14/10/2022,17/10/2022 12:00,64,,,,
14/10/2022,17/10/2022 12:00,62.75,,,,
17/10/2022,17/10/2022 13:00,0.75,,,,
17/10/2022,17/10/2022 17:00,1,,,,
17/10/2022,17/10/2022 23:00,5.75,,,,
17/10/2022,18/10/2022 00:00,0.75,,,,
20/10/2022,20/10/2022 10:00,1,,,,
20/10/2022,20/10/2022 12:00,1.75,,,,
20/10/2022,20/10/2022 13:00,0.75,,,,
23/10/2022,23/10/2022 13:00,1,,,,
23/10/2022,23/10/2022 14:00,0.75,,,,
23/10/2022,23/10/2022 15:00,0.75,,,,
23/10/2022,23/10/2022 17:00,1.75,,,,
23/10/2022,23/10/2022 18:00,0.75,,,,
23/10/2022,23/10/2022 19:00,0.75,,,,
23/10/2022,23/10/2022 21:00,1.75,,,,
23/10/2022,23/10/2022 22:00,0.75,,,,
23/10/2022,23/10/2022 23:00,0.75,,,,
24/10/2022,24/10/2022 12:00,2,,,,
24/10/2022,24/10/2022 13:00,0.75,,,,
24/10/2022,24/10/2022 20:00,1,,,,
24/10/2022,24/10/2022 21:00,0.75,,,,
24/10/2022,24/10/2022 22:00,0.75,,,,
28/10/2022,28/10/2022 12:00,3,,,,
28/10/2022,28/10/2022 21:00,1,,,,
31/10/2022,31/10/2022 14:00,1,,,,
31/10/2022,31/10/2022 16:00,1.75,,,,
31/10/2022,31/10/2022 17:00,0.75,,,,
31/10/2022,31/10/2022 21:00,3.75,,,,
31/10/2022,31/10/2022 22:00,0.75,,,,
31/10/2022,31/10/2022 23:00,0.75,,,,
31/10/2022,01/11/2022 00:00,0.75,,,,
03/11/2022,03/11/2022 18:00,1,,,,
03/11/2022,03/11/2022 19:00,0.75,,,,
03/11/2022,03/11/2022 20:00,0.75,,,,
11/11/2022,11/11/2022 21:00,3,,,,
11/11/2022,11/11/2022 22:00,0.75,,,,
