Outage Start,Outage End,Duration (hours),Weather Event Date,Weather Event,Wind scale,RES
13/02/2016,14/02/2016 01:00,3.75,08/02/2016,Imogen,Storm,3
14/02/2016,15/02/2016 01:00,25,08/02/2016,Imogen,Storm,3
14/02/2016,15/02/2016 01:00,16,08/02/2016,Imogen,Storm,3
15/02/2016,16/02/2016 01:00,18,08/02/2016,Imogen,Storm,3
15/02/2016,16/02/2016 01:00,14,08/02/2016,Imogen,Storm,3
15/02/2016,16/02/2016 01:00,10.75,08/02/2016,Imogen,Storm,3
15/02/2016,16/02/2016 01:00,3.75,08/02/2016,Imogen,Storm,3
03/03/2016,04/03/2016 01:00,19,02/03/2016,Jake,Storm,3
03/03/2016,03/03/2016 10:00,1,02/03/2016,Jake,Storm,3
03/03/2016,04/03/2016 01:00,15.75,02/03/2016,Jake,Storm,3
03/03/2016,04/03/2016 01:00,7.75,02/03/2016,Jake,Storm,3
03/03/2016,05/03/2016 01:00,26,02/03/2016,Jake,Storm,3
04/03/2016,04/03/2016 15:30,1.5,02/03/2016,Jake,Storm,3
04/03/2016,04/03/2016 22:00,4,02/03/2016,Jake,Storm,3
04/03/2016,05/03/2016 01:00,3,02/03/2016,Jake,Storm,3
05/03/2016,06/03/2016 01:00,13.25,02/03/2016,Jake,Storm,3
08/03/2016,09/03/2016 01:00,14.75,02/03/2016,Jake,Storm,3
08/03/2016,09/03/2016 01:00,13,02/03/2016,Jake,Storm,3
08/03/2016,09/03/2016 01:00,13,02/03/2016,Jake,Storm,3
08/03/2016,10/03/2016 01:00,25.25,02/03/2016,Jake,Storm,3
09/03/2016,10/03/2016 01:00,18,02/03/2016,Jake,Storm,3
09/03/2016,10/03/2016 01:00,15,02/03/2016,Jake,Storm,3
09/03/2016,10/03/2016 01:00,6,02/03/2016,Jake,Storm,3
26/03/2016,27/03/2016 01:00,15.75,26/03/2016,Katie,Gale,3
27/03/2016,28/03/2016 01:00,14,26/03/2016,Katie,Gale,3
27/03/2016,28/03/2016 01:00,7,26/03/2016,Katie,Gale,3
27/03/2016,29/03/2016 01:00,25.75,26/03/2016,Katie,Gale,3
28/03/2016,29/03/2016 01:00,17,26/03/2016,Katie,Gale,3
29/03/2016,30/03/2016 01:00,4,26/03/2016,Katie,Gale,3
29/03/2016,30/03/2016 01:00,4,26/03/2016,Katie,Gale,3
30/03/2016,30/03/2016 07:00,2.75,26/03/2016,Katie,Gale,3
30/03/2016,31/03/2016 17:15,25.25,26/03/2016,Katie,Gale,3
31/03/2016,01/04/2016 01:00,6,26/03/2016,Katie,Gale,3
01/04/2016,02/04/2016 01:00,19,26/03/2016,Katie,Gale,3
01/04/2016,02/04/2016 01:00,12.5,26/03/2016,Katie,Gale,3
02/04/2016,03/04/2016 01:00,16,26/03/2016,Katie,Gale,3
22/11/2016,22/11/2016 20:45,3.25,22/11/2016,Angus,Gale,2
22/11/2016,24/11/2016 01:00,26.75,22/11/2016,Angus,Gale,2
24/11/2016,25/11/2016 01:00,23,22/11/2016,Angus,Gale,2
24/11/2016,25/11/2016 01:00,21,22/11/2016,Angus,Gale,2
24/11/2016,26/11/2016 12:00,44,22/11/2016,Angus,Gale,2
25/11/2016,26/11/2016 01:00,23,22/11/2016,Angus,Gale,2
26/11/2016,27/11/2016 01:00,24,22/11/2016,Angus,Gale,2
27/11/2016,28/11/2016 01:00,10,22/11/2016,Angus,Gale,2
27/11/2016,27/11/2016 17:00,1.25,22/11/2016,Angus,Gale,2
28/11/2016,29/11/2016 01:00,22,22/11/2016,Angus,Gale,2
29/11/2016,30/11/2016 01:00,24,22/11/2016,Angus,Gale,2
29/11/2016,30/11/2016 01:00,20.75,22/11/2016,Angus,Gale,2
24/12/2016,24/12/2016 10:15,1,23/12/2016,Barbara,Gale,3
24/12/2016,25/12/2016 01:00,15,23/12/2016,Barbara,Gale,3
26/12/2016,26/12/2016 15:00,6,25/12/2016,Conor,Gale,3
26/12/2016,26/12/2016 18:15,0.75,25/12/2016,Conor,Gale,3
28/12/2016,29/12/2016 01:00,23,25/12/2016,Conor,Gale,3
28/12/2016,29/12/2016 01:00,7.5,25/12/2016,Conor,Gale,3
29/12/2016,29/12/2016 02:15,1,25/12/2016,Conor,Gale,3
29/12/2016,30/12/2016 01:00,23,25/12/2016,Conor,Gale,3
29/12/2016,30/12/2016 01:00,21,25/12/2016,Conor,Gale,3
29/12/2016,29/12/2016 07:00,1,25/12/2016,Conor,Gale,3
29/12/2016,30/12/2016 01:00,9,25/12/2016,Conor,Gale,3
30/12/2016,31/12/2016 01:00,23.75,25/12/2016,Conor,Gale,3
01/01/2017,01/01/2017 12:45,1,25/12/2016,Conor,Gale,3
23/02/2017,24/02/2017 01:00,14,23/02/2017,Doris,Violent Storm,4
23/02/2017,24/02/2017 01:00,8.75,23/02/2017,Doris,Violent Storm,4
24/02/2017,24/02/2017 04:15,1.25,23/02/2017,Doris,Violent Storm,4
24/02/2017,25/02/2017 01:00,15.75,23/02/2017,Doris,Violent Storm,4
24/02/2017,24/02/2017 11:45,2.25,23/02/2017,Doris,Violent Storm,4
24/02/2017,25/02/2017 01:00,4.75,23/02/2017,Doris,Violent Storm,4
25/02/2017,26/02/2017 01:00,6,25/02/2017,Ewan,Gale,4
26/02/2017,27/02/2017 01:00,7,25/02/2017,Ewan,Gale,4
27/02/2017,28/02/2017 01:00,18,25/02/2017,Ewan,Gale,4
27/02/2017,28/02/2017 01:00,11,25/02/2017,Ewan,Gale,4
27/02/2017,28/02/2017 01:00,8,25/02/2017,Ewan,Gale,4
28/02/2017,28/02/2017 13:00,2.25,25/02/2017,Ewan,Gale,4
28/02/2017,01/03/2017 01:00,12,25/02/2017,Ewan,Gale,4
28/02/2017,01/03/2017 01:00,7.75,25/02/2017,Ewan,Gale,4
28/02/2017,28/02/2017 22:00,4.5,25/02/2017,Ewan,Gale,4
28/02/2017,02/03/2017 01:00,28,25/02/2017,Ewan,Gale,4
02/03/2017,02/03/2017 20:45,0.75,25/02/2017,Ewan,Gale,4
03/03/2017,04/03/2017 01:00,15,25/02/2017,Ewan,Gale,4
04/03/2017,05/03/2017 01:00,19,25/02/2017,Ewan,Gale,4
04/03/2017,05/03/2017 01:00,16.25,25/02/2017,Ewan,Gale,4
04/03/2017,04/03/2017 13:00,4.25,25/02/2017,Ewan,Gale,4
